,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.4939514065177598,-0.8453906283195073
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-1.1352143434987814,-0.2198679003986663
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.7675946465263404,0.16135216903208727
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.49506334261729534,0.5203616000674186
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.8638990768251549,0.2440819693757512
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,-0.8335783403248119,0.1626961319231594
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,0.26834434053724093,0.9057232159398352
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1.120043054207025,-0.22682981870039423
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,1.0067157992388083,-0.30301512893130855
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0.9317660508493124,-0.109945424881883
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,-0.9672089130017716,-0.297652062749012
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,-0.05423249823877585,0.852625874918879
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,1.0421853292051486,-0.22934801092812857
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,-0.3430852122583843,-0.6505169317131021
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,-0.6613888978817493,-0.9485662880622064
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,-0.6306229166332102,-0.5598553036012217
32,Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.42836248813157873,1.0619671842740046
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.1483045332698089,0.867681379335483
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.7598168444289936,0.10938228748737616
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,0.41097021391149813,0.6921895040052212
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.2654835161414126,-0.542273233688123
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,1.3189433785032285,-0.48271040924472963
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.0077126246725148,-0.4140808936940284
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.9825647856995238,-0.08154014038176231
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.2045504123349802,-0.11230831749938186
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.1399345295790646,-0.32434224429148123
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.0830906980853185,-0.2515884525801368
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,0.9479060304659043,-0.16684973455943092
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,-0.8911988419391736,0.27519574850035206
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.9950203718005797,0.24038464968841117
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.7669579077791256,-0.34283365509122343
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.5207065463016783,1.0951478131477206
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.14070970490854137,0.528328315379343
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-0.8194046278555037,-0.41387558497672505
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,-0.8737147394256697,0.056493876348469016
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,0.8298997445080927,0.3337022901960568
52,Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.8001270164570031,0.15729650208549117
53,Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.3431576974033222,0.8537778454684157
54,Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.7941040582331534,0.2587187758001469
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.7856995116796579,-1.0660632749739893
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.4517730928862951,0.7233001557173905
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.6239261901803718,0.1377133089595236
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.0162704796379183,-0.16498161180244844
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.12762528177564075,0.7956607073579338
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.8514987449744031,0.11785796693222597
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,-0.8876909984388912,0.16755770915959162
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.3252924386764672,0.9070005942424695
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,-1.114224562635805,-0.41971320109744903
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1.5029007529239382,-0.12456147400898682
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.563190387420554,-0.09700186117393016
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,-0.8209749035172565,0.23289120176889394
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,-0.8647315625633348,0.2659507698460857
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.8142663294364184,0.23188205233581333
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,-0.9080560129068792,-0.12152433498270446
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.2091241252320153,0.477199060542962
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.32968393618583447,-0.3671949958379002
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,-0.4388164928037702,-0.7591841194646956
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.7951259603719119,0.05633983051814287
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,-0.24119601218688053,-0.7585304168394001
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.5939745130177503,0.01692197696557249
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0.16921160780703712,0.5875244663839508
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0.9402876184384112,-0.20921193550140552
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.913252669234654,0.1863525993590969
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.3843264327040086,-0.34588253515744216
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,-0.5467017055585517,-0.6912736285841795
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,-0.7220572606259671,-0.8141166419341745
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.8680584935496014,0.23473899412999277
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,0.07717285812964794,-0.5809451307989432
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.2418101469988936,0.7887259763643647
